points_5,points_4,points_3,points_2,points_1
Antipodean Albatross,Hutton's Shearwater,Banded Dotterel,Shore Plover,South Island Kōkako
Takahē,Blue Duck,Kākā,Morepork,Kākāpō
South Island Kōkako,Southern Brown Kiwi,Black Robin,Black-billed Gull,Tūī
Black Robin,Antipodean Albatross,Gibson's Albatross,South Island Kōkako,Chatham Island Mollymawk
Black Robin,Whenua Hou Diving Petrel,Kākāpō,Harrier,Antipodean Albatross
Spotted Shag,Southern Brown Kiwi,Kākā,Antipodean Albatross,Orange-fronted Parakeet
Fairy Tern,Black Robin,Shore Plover,Whenua Hou Diving Petrel,Saddleback
Kea,Kingfisher,Bar-tailed Godwit,Bellbird,South Island Kōkako
Harrier,Black Petrel,Black Robin,Stitchbird,Fairy Tern
Banded Dotterel,Shining Cuckoo,Silvereye,Shore Plover,Black Robin
Stitchbird,Bellbird,Tūī,Kea,Kererū
Black Robin,Bittern,Mōhua,New Zealand Dotterel,Black-billed Gull
New Zealand Dabchick,Australasian Crested Grebe,Fiordland Crested Penguin,Spotted Shag,Black shag
Antipodean Albatross,Fiordland Crested Penguin,Southern Brown Kiwi,Rockhopper Penguin,Yellow-eyed penguin
Kākāpō,Kākā,Blue Duck,Black Robin,Barn Owl
Kea,Tūī,Weka,Kākāpō,Morepork
Kākāpō,South Island Kōkako,Kākā,Antipodean Albatross,Hutton's Shearwater
Yellow-eyed penguin,NA,NA,NA,NA
Kererū,Kea,Harrier,Black Petrel,South Polar Skua
Wrybill,Black Stilt,Stitchbird,Grey Warbler,New Zealand Dabchick
Mōhua,North Island Brown Kiwi,Great Spotted Kiwi,Little Spotted Kiwi,Banded Dotterel
Stitchbird,Blue Duck,Buller's Mollymawk,Tomtit,Tūī
Weka,Antipodean Albatross,Bittern,New Zealand Falcon,Blue Duck
Kākāpō,Kea,Harrier,New Zealand Falcon,Chatham Island Mollymawk
Kākāpō,Kākā,Southern Brown Kiwi,New Zealand Dotterel,Hutton's Shearwater
New Zealand Dotterel,Little Spotted Kiwi,Black Stilt,Black Robin,Southern Brown Kiwi
Yellow-eyed penguin,Saddleback,New Zealand Robin,Little Penguin,Kingfisher
Barn Owl,Tūī,Kererū,Morepork,Kea
Yellow-eyed penguin,Blue Duck,Chatham Island Mollymawk,Kākāpō,Kākā
Banded Dotterel,Bittern,Orange-fronted Parakeet,Mōhua,Black Robin
Southern Brown Kiwi,Blue Duck,South Island Kōkako,Spotted Shag,Mōhua
Rockhopper Penguin,Yellow-eyed penguin,Kākāpō,Antipodean Albatross,Orange-fronted Parakeet
Mōhua,Black Robin,Little Spotted Kiwi,Tūī,New Zealand Dotterel
Chatham Island Mollymawk,Rockhopper Penguin,Kingfisher,Bellbird,Barn Owl
Spotted Shag,Tūī,Kererū,Rockhopper Penguin,Little shag
Kākā,Antipodean Albatross,Banded Dotterel,Gibson's Albatross,South Island Kōkako
Yellow-eyed penguin,Rockhopper Penguin,Chatham Island Mollymawk,Shore Plover,Kākāpō
Salvin's Mollymawk,Hutton's Shearwater,Australasian Gannet,Kererū,Kākā
Australasian Gannet,Bellbird,Arctic Skua,Australasian Crested Grebe,Black-billed Gull
Southern Brown Kiwi,New Zealand Dotterel,Gibson's Albatross,Bittern,Black Stilt
Fantail,Stitchbird,Rifleman,Tomtit,Kingfisher
Morepork,Kererū,Bar-tailed Godwit,Little Penguin,New Zealand Falcon
Wrybill,Black-fronted Tern,Pūkeko,Black Robin,Kererū
Kingfisher,Barn Owl,Fantail,North Island Brown Kiwi,Welcome Swallow
Little Spotted Kiwi,Kākā,Black-billed Gull,Black Robin,Kākāpō
Yellow-eyed penguin,Rock Wren,Rifleman,Gibson's Albatross,New Zealand Dotterel
Black Robin,New Zealand Dotterel,North Island Brown Kiwi,Kea,Little Spotted Kiwi
Kererū,Kākā,Tūī,Bellbird,Kākāpō
New Zealand Falcon,New Zealand Dabchick,New Zealand Dotterel,Black Petrel,Kea
New Zealand Falcon,Black Robin,Kākā,Rockhopper Penguin,Antipodean Albatross
New Zealand Robin,Tūī,Kererū,Kākāpō,Fantail
Kererū,Southern Brown Kiwi,Fiordland Crested Penguin,Barn Owl,Stitchbird
Black Robin,Weka,Kākā,Southern Brown Kiwi,Bellbird
Mōhua,Fernbird,Great Spotted Kiwi,Tūī,Saddleback
Kingfisher,New Zealand Falcon,Fantail,Kōkako,Silvereye
Black Robin,Bittern,Blue Duck,Little Spotted Kiwi,Morepork
Rifleman,Whenua Hou Diving Petrel,Black Robin,Black-billed Gull,Tūī
Chatham Island Oystercatcher,Blue Duck,Kākāpō,Black Robin,Bittern
Little Spotted Kiwi,Fiordland Crested Penguin,New Zealand Dabchick,Rockhopper Penguin,Rifleman
New Zealand Dabchick,Yellow-eyed penguin,Rockhopper Penguin,Rifleman,Orange-fronted Parakeet
Kākāpō,Takahē,Little Spotted Kiwi,Westland Petrel,Orange-fronted Parakeet
Takahē,Brown Teal,Little Spotted Kiwi,Antipodean Albatross,Kākā
Kākāpō,Kea,Little Spotted Kiwi,Yellow-eyed penguin,Campbell Black-Browed Albatross
Antipodean Albatross,Hutton's Shearwater,Kākā,South Island Kōkako,Kākāpō
Kererū,Orange-fronted Parakeet,Kea,Tūī,Kākā
Antipodean Albatross,Hutton's Shearwater,Banded Dotterel,Kākāpō,Bittern
South Island Kōkako,Black Stilt,Blue Duck,The Otago Shag,Chatham Island Oystercatcher
Orange-fronted Parakeet,Kea,Kākāpō,Kākā,Morepork
Kererū,Stitchbird,Silvereye,New Zealand Falcon,Harrier
Fantail,Kākāpō,Kākā,Rifleman,Kea
Spotted Shag,Tūī,Kea,Kererū,Kākā
New Zealand Falcon,Kererū,Silvereye,Harrier,Stitchbird
Mōhua,Tūī,New Zealand Falcon,Welcome Swallow,North Island Brown Kiwi
New Zealand Falcon,North Island Brown Kiwi,Kea,Tūī,Kākā
Great Spotted Kiwi,Little Spotted Kiwi,Rockhopper Penguin,North Island Brown Kiwi,Westland Petrel
Little Penguin,Morepork,Kākā,Banded Dotterel,Tomtit
Stitchbird,New Zealand Falcon,Spotted Shag,Little Penguin,Kea
Tūī,Kōkako,Black Robin,Kākāpō,Kea
Kākāpō,Kōkako,Little Penguin,Morepork,Stitchbird
Welcome Swallow,New Zealand Robin,Rifleman,Stitchbird,New Zealand Dotterel
Little Spotted Kiwi,Hutton's Shearwater,Mōhua,Kākāpō,Banded Dotterel
Kererū,Kākāpō,New Zealand Falcon,Orange-fronted Parakeet,Harrier
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Whenua Hou Diving Petrel,Wrybill,Banded Dotterel,Rock Wren
Bittern,Black Robin,Blue Duck,Chatham Island Mollymawk,Kingfisher
Morepork,Pūkeko,Kingfisher,Kākāpō,Bellbird
Antipodean Albatross,Mōhua,Fiordland Crested Penguin,The Otago Shag,Banded Dotterel
New Zealand Dabchick,Orange-fronted Parakeet,Rifleman,Yellow-eyed penguin,Rockhopper Penguin
Kea,Tūī,Kererū,Kingfisher,Kākāpō
Kea,Southern Brown Kiwi,Little Spotted Kiwi,Shining Cuckoo,South Island Kōkako
Great Spotted Kiwi,New Zealand Falcon,Australasian Gannet,Fantail,Mōhua
Great Spotted Kiwi,New Zealand Falcon,Australasian Gannet,Fantail,Mōhua
Kererū,Australasian Gannet,Tūī,New Zealand Falcon,Scaup
Fantail,Kererū,Kākāpō,Yellow-eyed penguin,Kākā
Royal Spoonbill,Saddleback,The Otago Shag,Fantail,Yellow-eyed penguin
Grey Warbler,Kākā,Orange-fronted Parakeet,Saddleback,White Heron
Fantail,New Zealand Falcon,Kingfisher,Kōkako,Rifleman
Kākāpō,Banded Dotterel,Black Robin,New Zealand Dotterel,Fairy Tern
Takahē,Kākāpō,Little Spotted Kiwi,Great Spotted Kiwi,Weka
Rockhopper Penguin,Black Stilt,Stitchbird,Tomtit,Pūkeko
Yellow-eyed penguin,Blue Duck,Black Stilt,The Otago Shag,Bittern
Great Spotted Kiwi,Black Robin,Little Penguin,Tūī,Pied Shag
Bar-tailed Godwit,Bittern,Kākāpō,Antipodean Albatross,Hutton's Shearwater
Royal Spoonbill,Takahē,Morepork,New Zealand Dabchick,South Island Pied Oystercatcher
Fantail,Tūī,Kōkako,Morepork,Saddleback
Yellow-eyed penguin,White Heron,Harrier,Rifleman,Fernbird
Antipodean Albatross,Harrier,Kea,Kākā,Kākāpō
Kea,Kākāpō,Fiordland Crested Penguin,Orange-fronted Parakeet,Barn Owl
Fantail,New Zealand Falcon,Banded Dotterel,Barn Owl,Black Robin
Shining Cuckoo,Kōkako,Bittern,Morepork,Blue Duck
Southern Brown Kiwi,Tūī,Blue Duck,Antipodean Albatross,Little Spotted Kiwi
Kōkako,Kea,Weka,New Zealand Dabchick,Mōhua
Little Penguin,Fiordland Crested Penguin,Rockhopper Penguin,Yellow-eyed penguin,Whenua Hou Diving Petrel
Stitchbird,Tūī,Kākāpō,Kea,Kākā
Tūī,Rifleman,Morepork,Orange-fronted Parakeet,Fantail
Yellow-eyed penguin,Blue Duck,Chatham Island Oystercatcher,Kingfisher,Antipodean Albatross
Black-billed Gull,Fernbird,New Zealand Falcon,Fiordland Crested Penguin,Rockhopper Penguin
Mōhua,New Zealand Dabchick,South Polar Skua,Fernbird,New Zealand Robin
Fiordland Crested Penguin,Rockhopper Penguin,Australasian Crested Grebe,Banded Dotterel,Tomtit
Fantail,Australasian Crested Grebe,New Zealand Falcon,Harrier,Kererū
Mōhua,Black Robin,Kākā,Kākāpō,South Island Kōkako
Orange-fronted Parakeet,South Island Pied Oystercatcher,Kōkako,Little Penguin,South Island Kōkako
Southern Brown Kiwi,Southern Royal Albatross,Spotless Crake,Spotted Shag,Takahē
Tūī,North Island Brown Kiwi,Kererū,Rifleman,Fantail
Blue Duck,Rockhopper Penguin,Kākāpō,Kākā,Orange-fronted Parakeet
Antipodean Albatross,Banded Dotterel,Shore Plover,South Island Kōkako,Southern Brown Kiwi
Fairy Tern,Orange-fronted Parakeet,Yellow-eyed penguin,Gibson's Albatross,Chatham Island Oystercatcher
Yellow-eyed penguin,Little Penguin,Fiordland Crested Penguin,Rockhopper Penguin,Banded Dotterel
Antipodean Albatross,Banded Dotterel,Black-billed Gull,Buller's Mollymawk,Gibson's Albatross
New Zealand Dotterel,Fernbird,Mōhua,Fiordland Crested Penguin,Gibson's Albatross
Yellow-eyed penguin,New Zealand Dabchick,Silvereye,New Zealand Falcon,Rifleman
Fantail,New Zealand Falcon,Rockhopper Penguin,Blue Duck,South Island Kōkako
Yellow-eyed penguin,New Zealand Dotterel,Blue Duck,Black Robin,Southern Brown Kiwi
Black Robin,Morepork,Salvin's Mollymawk,Yellow-eyed penguin,Silvereye
Banded Dotterel,Kea,Shore Plover,Kākā,Bittern
Banded Dotterel,Bittern,Rifleman,Black Stilt,Fairy Tern
Yellow-eyed penguin,Chatham Island Mollymawk,Kākā,Kea,Orange-fronted Parakeet
Fiordland Crested Penguin,Rockhopper Penguin,Yellow-eyed penguin,Blue Duck,Fantail
Fantail,Southern Brown Kiwi,New Zealand Dotterel,Tūī,Yellow-eyed penguin
Kea,Kākāpō,Salvin's Mollymawk,Yellow-eyed penguin,Wrybill
Grey Warbler,Kōkako,Bellbird,Morepork,Tūī
Bellbird,Mōhua,Saddleback,Rockhopper Penguin,Little Penguin
Black Robin,Saddleback,Fernbird,Rock Wren,Black Petrel
Yellow-eyed penguin,Black Robin,Antipodean Albatross,Blue Duck,Bar-tailed Godwit
Banded Dotterel,Little Spotted Kiwi,Antipodean Albatross,Black Robin,Kākā
Yellow-eyed penguin,Kākāpō,Kākā,Kererū,Fantail
Saddleback,Kōkako,Stitchbird,Tomtit,Welcome Swallow
Yellow-eyed penguin,Tūī,New Zealand Falcon,Kākāpō,Antipodean Albatross
Fairy Tern,New Zealand Dotterel,Yellow-eyed penguin,Kākāpō,Saddleback
Antipodean Albatross,New Zealand Falcon,Bar-tailed Godwit,Bittern,Kererū
Wrybill,Yellow-eyed penguin,Kākāpō,Takahē,Bar-tailed Godwit
Banded Dotterel,Kākā,Rockhopper Penguin,Yellow-eyed penguin,Black Robin
Kākāpō,Black Robin,Harrier,Banded Dotterel,New Zealand Dotterel
Blue Duck,Grey Warbler,Saddleback,Black Stilt,Rock Wren
Little Spotted Kiwi,Northern Royal Albatross,Barn Owl,Blue Duck,Rifleman
Saddleback,Bellbird,Kōkako,Stitchbird,South Island Kōkako
Blue Duck,NA,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Royal Spoonbill,Kingfisher,Grey Warbler,Great Spotted Kiwi
Rockhopper Penguin,Tūī,Kererū,Fantail,Kākā
Antipodean Albatross,Fiordland Crested Penguin,Gibson's Albatross,Rockhopper Penguin,Southern Royal Albatross
Kākāpō,New Zealand Dotterel,Southern Brown Kiwi,Shore Plover,Orange-fronted Parakeet
Black-billed Gull,Harrier,Bar-tailed Godwit,New Zealand Dotterel,Wrybill
Saddleback,South Island Kōkako,Kākāpō,Tomtit,Wrybill
Black-billed Gull,Kererū,Kōkako,Little Penguin,South Island Kōkako
Saddleback,Kākāpō,Black-billed Gull,Fiordland Crested Penguin,Gibson's Albatross
New Zealand Falcon,Fiordland Crested Penguin,Orange-fronted Parakeet,Rockhopper Penguin,Kākāpō
Yellow-eyed penguin,NA,NA,NA,NA
Black Robin,Kākāpō,Mōhua,New Zealand Falcon,Fantail
Yellow-eyed penguin,Kākāpō,New Zealand Dabchick,Orange-fronted Parakeet,Northern Royal Albatross
Rock Wren,Kākā,Buller's Mollymawk,New Zealand Falcon,Saddleback
Black Robin,Southern Brown Kiwi,Fiordland Crested Penguin,Orange-fronted Parakeet,Fantail
Barn Owl,Mōhua,Fairy Tern,Gibson's Albatross,Orange-fronted Parakeet
Yellow-eyed penguin,Mōhua,Fernbird,Banded Dotterel,White Heron
New Zealand Falcon,Harrier,Australasian Crested Grebe,Barn Owl,Tomtit
New Zealand Dabchick,Australasian Crested Grebe,Fiordland Crested Penguin,Morepork,South Island Kōkako
Morepork,Weka,Yellow-eyed penguin,Silvereye,Kākā
Yellow-eyed penguin,New Zealand Falcon,Mōhua,Kākā,Banded Dotterel
Fiordland Crested Penguin,Fantail,Rockhopper Penguin,Yellow-eyed penguin,Tūī
Tūī,Kākā,Morepork,Fantail,Yellow-eyed penguin
Antipodean Albatross,Kākāpō,Little Spotted Kiwi,North Island Brown Kiwi,Southern Brown Kiwi
Morepork,Harrier,Barn Owl,Kea,Banded Dotterel
Morepork,Rifleman,Barn Owl,Saddleback,Silvereye
Yellow-eyed penguin,Black Stilt,Blue Duck,Orange-fronted Parakeet,Little Spotted Kiwi
Black Robin,Kākāpō,New Zealand Dotterel,Southern Brown Kiwi,Fiordland Crested Penguin
Orange-fronted Parakeet,Yellow-eyed penguin,Morepork,Little shag,Chatham Island Oystercatcher
Rockhopper Penguin,New Zealand Robin,Fantail,Little shag,Yellow-eyed penguin
Kea,Kākāpō,Pūkeko,Kererū,Takahē
Kākāpō,NA,NA,NA,NA
North Island Brown Kiwi,Blue Duck,Little Penguin,Little shag,Scaup
Orange-fronted Parakeet,Bellbird,Kererū,Rock Wren,Campbell Black-Browed Albatross
Yellow-eyed penguin,NA,NA,NA,NA
North Island Brown Kiwi,Rockhopper Penguin,Yellow-eyed penguin,Grey Warbler,Whitehead
New Zealand Dotterel,Banded Dotterel,Yellow-eyed penguin,Grey Warbler,Kingfisher
Yellow-eyed penguin,Kea,New Zealand Falcon,Royal Spoonbill,Pūkeko
Weka,Variable Oystercatcher,Kererū,Tūī,Royal Spoonbill
Fernbird,Rifleman,Fairy Tern,Mōhua,Blue Duck
Weka,Variable Oystercatcher,Kererū,Little Penguin,Royal Spoonbill
New Zealand Dabchick,New Zealand Falcon,Rifleman,White Heron,Shining Cuckoo
Yellow-eyed penguin,Morepork,Wrybill,Saddleback,Blue Duck
Takahē,Antipodean Albatross,Great Spotted Kiwi,Kea,Kākāpō
Kākāpō,Barn Owl,New Zealand Falcon,Fiordland Crested Penguin,Southern Brown Kiwi
Fairy Tern,Bar-tailed Godwit,Black-billed Gull,Blue Duck,Banded Dotterel
Yellow-eyed penguin,Antipodean Albatross,Banded Dotterel,Mōhua,Orange-fronted Parakeet
New Zealand Robin,Stitchbird,Orange-fronted Parakeet,Black Robin,Rifleman
Bittern,Kererū,White Heron,Fantail,Chatham Island Oystercatcher
Yellow-eyed penguin,Little Spotted Kiwi,Shore Plover,Kākāpō,Hutton's Shearwater
Rifleman,Yellow-eyed penguin,Fantail,Tūī,Southern Brown Kiwi
Pūkeko,Fiordland Crested Penguin,Rockhopper Penguin,NA,NA
Fiordland Crested Penguin,Kererū,Rockhopper Penguin,Kōkako,Saddleback
Yellow-eyed penguin,Little Spotted Kiwi,Kākāpō,Kea,Gibson's Albatross
Bittern,Southern Brown Kiwi,Mōhua,Kākāpō,South Island Kōkako
Kererū,Kea,Yellow-eyed penguin,Tūī,Fantail
Kākā,Bittern,Morepork,Kingfisher,North Island Brown Kiwi
Black-billed Gull,New Zealand Falcon,Kōkako,Black Petrel,Banded Dotterel
Kākāpō,NA,NA,NA,NA
Banded Dotterel,Fairy Tern,Shore Plover,Kākāpō,Bittern
Yellow-eyed penguin,Takahē,Kākā,Kākāpō,Morepork
Rockhopper Penguin,Chatham Island Mollymawk,Tūī,Kingfisher,Royal Spoonbill
Kākā,Blue Duck,Kea,Rock Wren,Kererū
Banded Dotterel,Black Robin,Chatham Island Mollymawk,Orange-fronted Parakeet,Rifleman
Kererū,Yellow-eyed penguin,New Zealand Falcon,South Island Kōkako,Little Spotted Kiwi
Bittern,Banded Dotterel,Black Robin,Black Stilt,Orange-fronted Parakeet
Kākā,Kākāpō,Fairy Tern,Blue Duck,Little Penguin
Antipodean Albatross,South Polar Skua,Southern Brown Kiwi,Fiordland Crested Penguin,New Zealand Falcon
Kākāpō,Rifleman,New Zealand Dotterel,Tūī,Morepork
Yellow-eyed penguin,Southern Royal Albatross,Mōhua,Kākāpō,Blue Duck
Fantail,Tūī,Saddleback,Morepork,South Island Kōkako
Rifleman,Tomtit,Black Robin,Kingfisher,Royal Spoonbill
North Island Brown Kiwi,Southern Brown Kiwi,Yellow-eyed penguin,Little Spotted Kiwi,Great Spotted Kiwi
Yellow-eyed penguin,Gibson's Albatross,Orange-fronted Parakeet,Chatham Island Oystercatcher,New Zealand Falcon
Antipodean Albatross,Fiordland Crested Penguin,New Zealand Falcon,Banded Dotterel,Yellow-eyed penguin
Stitchbird,Mōhua,New Zealand Dotterel,Bar-tailed Godwit,Shore Plover
Takahē,Fantail,Yellow-eyed penguin,Little Penguin,Kākāpō
Black Robin,Antipodean Albatross,Banded Dotterel,Blue Duck,South Island Kōkako
Saddleback,Takahē,Kōkako,Kākāpō,Kākā
Antipodean Albatross,South Island Pied Oystercatcher,Southern Royal Albatross,Black-billed Gull,Blue Duck
Mōhua,Fernbird,New Zealand Dotterel,Orange-fronted Parakeet,Kererū
Banded Dotterel,Stitchbird,Orange-fronted Parakeet,Hutton's Shearwater,Kererū
Yellow-eyed penguin,Rock Wren,Kea,Bar-tailed Godwit,Gibson's Albatross
Kākā,Variable Oystercatcher,Morepork,Blue Duck,Fairy Tern
Rock Wren,Saddleback,Wrybill,Black-billed Gull,Black Petrel
Rifleman,Fairy Tern,South Island Kōkako,Little Penguin,Stitchbird
Yellow-eyed penguin,Fairy Tern,Shore Plover,Kākā,Kererū
Banded Dotterel,New Zealand Falcon,Kākā,Blue Duck,Yellow-eyed penguin
Yellow-eyed penguin,Black Petrel,Fantail,Rockhopper Penguin,Scaup
Hutton's Shearwater,Yellow-eyed penguin,New Zealand Dotterel,Shore Plover,The Otago Shag
Great Spotted Kiwi,Orange-fronted Parakeet,Kākā,Kākāpō,Saddleback
Kererū,Little Penguin,Orange-fronted Parakeet,Fernbird,Kea
Spotless Crake,Harrier,Kea,Tūī,Kākāpō
Banded Dotterel,Black Robin,Grey Warbler,Morepork,Yellow-eyed penguin
Fiordland Crested Penguin,Barn Owl,Rockhopper Penguin,Yellow-eyed penguin,Southern Brown Kiwi
Stitchbird,Banded Dotterel,Kākā,Silvereye,Royal Spoonbill
Fantail,Black-billed Gull,Mōhua,Bar-tailed Godwit,Kea
Yellow-eyed penguin,Antipodean Albatross,Southern Royal Albatross,Gibson's Albatross,Banded Dotterel
Yellow-eyed penguin,Royal Spoonbill,Rockhopper Penguin,Little Penguin,Black-billed Gull
Grey Warbler,Fantail,New Zealand Falcon,Kingfisher,Morepork
Yellow-eyed penguin,NA,NA,NA,NA
New Zealand Robin,Fantail,Kererū,Tūī,Kingfisher
Spotted Shag,New Zealand Dotterel,Banded Dotterel,Chatham Island Oystercatcher,Shore Plover
Yellow-eyed penguin,Fairy Tern,Chatham Island Oystercatcher,Shore Plover,Orange-fronted Parakeet
Yellow-eyed penguin,Little Spotted Kiwi,Kererū,Kea,New Zealand Dotterel
New Zealand Falcon,Kākā,South Island Kōkako,Yellow-eyed penguin,NA
Antipodean Albatross,Kākāpō,New Zealand Dotterel,Yellow-eyed penguin,Chatham Island Mollymawk
Hutton's Shearwater,Bittern,The Otago Shag,North Island Brown Kiwi,Great Spotted Kiwi
Rock Wren,Black Robin,Grey Warbler,Yellow-eyed penguin,Kākāpō
Yellow-eyed penguin,Tūī,Kākāpō,Stitchbird,Chatham Island Mollymawk
Yellow-eyed penguin,Orange-fronted Parakeet,Mōhua,Gibson's Albatross,Hutton's Shearwater
Kererū,Silvereye,Morepork,Tūī,Mōhua
South Island Kōkako,Yellow-eyed penguin,Kākāpō,Kea,Tūī
Stitchbird,Orange-fronted Parakeet,Fantail,Tomtit,Rifleman
Fantail,Black Robin,New Zealand Falcon,Blue Duck,Tūī
Kererū,Fiordland Crested Penguin,Kākā,Kākāpō,Little Penguin
Welcome Swallow,Stitchbird,Tomtit,Kererū,Rifleman
Barn Owl,Little Penguin,New Zealand Falcon,Rifleman,Mōhua
Fairy Tern,Little Spotted Kiwi,Black Robin,Southern Brown Kiwi,Kākā
South Island Kōkako,Banded Dotterel,Antipodean Albatross,Salvin's Mollymawk,Kākā
Harrier,Banded Dotterel,Rifleman,Bar-tailed Godwit,Fairy Tern
Yellow-eyed penguin,NA,NA,NA,NA
New Zealand Dabchick,Antipodean Albatross,Bittern,Tūī,Little Penguin
Southern Brown Kiwi,Gibson's Albatross,The Otago Shag,Black-billed Gull,Yellow-eyed penguin
Banded Dotterel,Bittern,Black Robin,Black-billed Gull,Blue Duck
Southern Royal Albatross,Tūī,Banded Dotterel,Shore Plover,Kākāpō
Yellow-eyed penguin,Black Robin,Rockhopper Penguin,Rifleman,Kōkako
Yellow-eyed penguin,Northern Royal Albatross,Little Penguin,Rockhopper Penguin,Fiordland Crested Penguin
Fantail,Blue Duck,Antipodean Albatross,Kererū,Orange-fronted Parakeet
Barn Owl,Harrier,Fantail,Kea,Little Penguin
Kingfisher,Harrier,Royal Spoonbill,Fairy Tern,Morepork
Harrier,Fantail,Rockhopper Penguin,Pūkeko,Rifleman
Kererū,Kākāpō,Southern Brown Kiwi,Black Robin,Little Spotted Kiwi
Black Robin,Kererū,Kea,Rockhopper Penguin,Tūī
Yellow-eyed penguin,Fairy Tern,Black Stilt,Black Robin,Banded Dotterel
Saddleback,Takahē,Antipodean Albatross,Chatham Island Mollymawk,South Island Kōkako
Banded Dotterel,Orange-fronted Parakeet,Rock Wren,Fairy Tern,Yellow-eyed penguin
Pied Shag,Shining Cuckoo,Chatham Island Oystercatcher,Black-billed Gull,Little Penguin
Orange-fronted Parakeet,Kingfisher,New Zealand Falcon,Kea,Yellow-eyed penguin
Kākāpō,Kākā,Antipodean Albatross,Southern Brown Kiwi,Black-billed Gull
Whenua Hou Diving Petrel,Banded Dotterel,South Island Kōkako,Shore Plover,The Otago Shag
Fiordland Crested Penguin,Fairy Tern,Black Robin,Fantail,Kea
Bittern,Antipodean Albatross,Black Petrel,Black Stilt,Black-billed Gull
New Zealand Dotterel,Black Robin,Antipodean Albatross,Southern Brown Kiwi,Chatham Island Mollymawk
Bittern,Kererū,Black-billed Gull,Blue Duck,Kōkako
Yellow-eyed penguin,NA,NA,NA,NA
Bittern,NA,NA,NA,NA
Black Robin,Fairy Tern,Yellow-eyed penguin,Kākā,Little Spotted Kiwi
Yellow-eyed penguin,Banded Dotterel,Fiordland Crested Penguin,New Zealand Dabchick,Antipodean Albatross
